CountryName,GiniCoff,IncomePerPeerson,InvestmentShareOfGDP,TaxShareOfGDP,"Estimated average age at marriage, women","Estimates, 1950 - 2020: Annually interpolated demographic indicators - Total fertility (live births per woman)",Deaths - Self-harm - Sex: Both - Age: All Ages (Percent),Life satisfaction in Cantril Ladder (World Happiness Report 2019),"Agriculture, value added per worker (constant 2010 US$)",UN Population Division (Median Age) (2017),Life expectancy,Number of people employed in agriculture  (Herrendorf et al. data),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Pupil-teacher ratio in primary education (headcount basis),Tax Revenue (Piketty (2014)),Public Expenditure on Education (Tanzi & Schuktnecht (2000)),"Real GDP per capita in 2011US$, multiple benchmarks (Maddison Project Database (2018))",Income share held by highest 10%,Population density (people per sq. km of land area)
Iran,,,,,23.5,1.866,1.4629018027757668,4.767507076,8241.14082900005,,74.352,,12.3000001907349,,,,18024.0,,46.3491134359881
Iraq,,,,,22.0,4.301,1.2333601570379238,4.725366116,4536.89884756896,,68.848,,8.20800018310547,,,,11484.0,,73.0499470436544
Isle of Man,,,,,30.700001,,,,,,80.239,,,,,,,,141.682456140351
Korea,,,,,29.1,,,,,,,,,,,,,,
Kosovo,,,,,25.200001,,,4.859501839,,,,,,,,,,22.3,164.508128961146
Laos,,,,,20.5,3.056,1.1154294070897257,4.703749657,727.132371265087,,64.797,,0.700999975204468,26.8085193634033,,,4401.0,,27.4414514731369
Liechtenstein,,,,,29.799999,,,,,,81.801,,,7.8365797996521,,,,,226.65
Macao,,,,,30.299999,1.131,,,,,82.938,,2.55999994277954,14.8470697402954,,,,,18375.8862876254
Marshall Islands,,,,,24.200001,,3.0867650578515606,,,,71.686,,,,,,,,291.9
Mauritania,,,,,21.6,4.939,0.6718483126672511,4.784804344,1141.07762714885,,62.799,,10.1219997406006,39.2944297790527,,,3104.0,,3.60693897351315
Montenegro,,,,,27.1,1.741,1.3681943159637044,5.223116875,32069.4321917002,,75.505,,19.7099990844727,,,,15747.0,24.7,46.1025278810409
Montserrat,,,,,31.9,,,,,,73.214,,,,,,,,
Niue,,,,,24.6,,,,,,72.575,,,,,,,,
Papua New Guinea,,,,,22.6,3.926,2.3016738589789294,,3664.91469779572,,62.316,,2.61999988555908,,,,,,16.0520867376231
Rwanda,,,,,24.4,4.412,1.0096519878388086,4.097435951,435.283414781205,,64.523,,3.25399994850159,58.0943908691406,,,1449.0,,426.269598702878
Samoa,,,,,23.5,4.277,1.6425964355348135,,34395.7589890996,,71.906,,5.67999982833862,,,,,,66.3127208480565
Sint Maarten (Dutch part),,,,,28.0,,,,,,77.799,,,,,,,,983.382352941176
Tanzania,,,,,20.9,5.358,0.5561878152637854,4.073562145,652.770351142586,,59.525,,3.47000002861023,,,,2227.0,31.0,53.7038857529916
Tokelau,,,,,27.9,,,,,,80.078,,,,,,,,
Tonga,,,,,24.700001,3.864,0.83296175194498,,5092.05104199047,,70.148,,1.06500005722046,24.1260604858398,,,,,145.245833333333
Trinidad and Tobago,,,,,29.200001,1.804,1.6028362593096388,6.518745899,4709.35848049375,,72.17,,4.65999984741211,,,,29745.0,,260.192592592593
Uganda,,,,,20.0,5.983,0.6731533737460043,4.826001167,657.456418130463,,58.087,,3.84999990463257,47.776008605957,,,1890.0,,175.01320566527
Venezuela,,,,,22.9,2.444,1.6586832003058063,6.579789162,20346.165472549,,73.11,,7.84000015258789,,,,17746.0,,33.4031982313928
Africa,,,,,,4.787,,,,,59.263,,,,,,4487.0,,
Antigua and Barbuda,,,,,,1.989,0.492234473399226,,,,75.956,,,14.5120296478271,,,,,217.543181818182
Aruba,,,,,,1.779,,,,,75.158,,,15.0860900878906,,,,,566.961111111111
Asia,,,,,,2.242,,,,,71.309,,,,,,,,
"Asia, Central",,,,,,2.7430000000000003,,,,,,,,,,,,,
Australia & New Zealand,,,,,,1.951,,,,,,,,,,,,,
Bahamas,,,,,,1.847,0.5289681896574429,,14972.1276604941,,72.263,,14.5200004577637,,,,,,36.6201798201798
